Location,Latitude,Longitude,Feature_Description,Confidence_Level,Satellite_Visible,Historic_Evidence
Van Voorhis Walls,40.0580,-82.4415,"Parallel embankments 50 m apart, 0.3–0.5 m high, visible in woodlot north of Newark Airport. LiDAR cross-sections show central depression.",Excellent,Yes,Yes
Cynthia Street Park Heath,40.0456,-82.4332,"Two linear anomalies trending NE-SW in geophysical and LiDAR data, matching projected GHR path.",Good,Faint,Yes
South of woodlot Newark Airport,40.0372,-82.4300,"West wall visible in 2006 aerials and LiDAR; east wall absent, likely due to disturbance.",Good,Partial,Yes
Near Newark Airport,40.0320,-82.4270,"1930s aerials show straight, continuous traces of parallel walls; LiDAR confirms subtle relief.",Excellent,Partial,Yes
South of James Parkway,40.0210,-82.4200,"Excavation trench (124 m) reveals thickened subsoil and dip, possible wall and ditch; LiDAR shows subtle linearity.",Fair,No,Limited
Agricultural field 5350m S of Ramp Creek,40.0150,-82.4150,"Parallel lines at 27° azimuth in 1988 infrared aerial; LiDAR shows faint linear depressions.",Good,Yes,Yes
Near Mound City Chillicothe,39.3763,-82.9919,"No direct LiDAR evidence of parallel embankments, but subtle linear anomalies on outwash terrace align with projected path.",Fair,No,Limited
Newark Octagon Earthworks,40.0606,-82.4331,"Northern nexus; V-intersection of avenues including the Great Hopewell Road.",Excellent,Yes,Yes
Great Circle Earthworks (Newark),40.0469,-82.4252,"Major Hopewell circle; part of Newark complex referenced as nexus.",Excellent,Yes,Yes
Cherry Valley Ellipse,40.0635,-82.3985,"Burial mound area connected via avenues from the Square; placeholder coordinates.",Low,No,Limited
The Square (Newark complex),40.0548,-82.4189,"Junction hub connecting avenues to Cherry Valley Ellipse and Great Circle; placeholder coordinates.",Low,No,Limited
Geller Park (Heath),40.0290,-82.4370,"Reported corridor segment passed through a corner; starting point for 1990s walk.",Good,Faint,Yes
Buckeye Lake woodlot (final traced segment),39.9330,-82.4810,"Approximate area just north of Buckeye Lake where farthest segment (~8 miles from Newark) is observed; placeholder coordinates.",Moderate,No,Yes
Circleville (Hopewell site vicinity),39.6010,-82.9460,"Speculative alternative terminus if curvature intentional; city named for Hopewell circles.",Speculative,No,Historic
High Bank Works (Chillicothe),39.2950,-82.9730,"Large Hopewell earthwork; potential southern terminus.",Moderate,Partial,Historic
Hopewell Mound Group (Chillicothe),39.3540,-83.0060,"Major ceremonial complex; potential southern terminus.",Moderate,Partial,Historic
